id,title,category,location,description,slug,image,timeOfDay,mood,priceLevel,tips,longDescription,trending
81,Kayaking,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Rent kayaks and explore a nearby lake or river.,kayaking,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""romantic""}",Moderate,Wear comfortable clothes and bring a change of clothes.,Enjoy a scenic kayaking adventure on a lake or river.,
82,Kite Flying at a Park,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Enjoy the simple pleasure of flying kites together.,kite-flying,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""playful""}",Affordable,Check weather conditions; ideal is a steady breeze without too much wind.,Experience simple joy and playfulness while navigating colorful kites against the sky.,
83,Language Class,Cultural,"{""type"":""indoor"",""setting"":""classroom""}",Learn a new language together.,language-class,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""educational""}",Affordable,Bring a notebook and dress comfortably.,Learn a new language together in a fun and interactive class.,
84,Language Exchange,Cultural,"{""type"":""indoor"",""setting"":""cafe""}",Practice a new language with native speakers.,language-exchange,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""educational""}",Affordable,Bring a notebook and dress comfortably.,Practice a new language with native speakers in a fun and interactive setting.,
85,Laser Tag,Entertainment,"{""type"":""indoor"",""setting"":""arena""}",Compete against each other in an exciting laser tag arena.,laser-tag,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""active"",""vibe"":""thrilling""}",Affordable,"Wear dark, comfortable clothes that allow movement.",Test your strategic skills in an action-packed laser tag competition.,
86,"Library Date ",Cultural,"{""type"":""indoor"",""setting"":""library""}",Browse books and choose interesting reads for each other.,library-date,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""intellectual""}",Affordable,Consider choosing books that reveal something about yourself.,Discover new literary worlds and learn about each other through your book selections.,
87,Live Theater Show,Entertainment,"{""type"":""indoor"",""setting"":""theater""}",Experience the magic of live theater performance.,live-theater,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""cultural""}",Moderate,Research the show beforehand to enhance your appreciation.,Be transported by the magic of live performance in this classic sophisticated date.,
88,Love Letter Exchange,Cultural,"{""type"":""indoor"",""setting"":""restaurant""}",Write heartfelt letters to exchange during a special meal.,love-letter-dinner,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Moderate,Write your letters beforehand and bring them sealed to dinner.,Express your deepest feelings in written form and share them during a romantic dinner.,
89,Magic Show,Entertainment,"{""type"":""indoor"",""setting"":""theater""}",Be amazed by a live magic performance.,magic-show,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Affordable,Arrive early for good seats and dress comfortably.,Experience the wonder of a live magic show.,
90,Mario Kart/Go Kart,Entertainment,"{""type"":""outdoor"",""setting"":""track""}",Race each other on go-karts for a thrilling competition.,go-kart-racing,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear closed-toe shoes and comfortable clothes.,Experience the thrill of racing against each other on a professional go-kart track.,
91,Martial Arts,Adventure,"{""type"":""indoor"",""setting"":""gym""}",Learn self-defense techniques in a beginner's class.,martial-arts-training,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""energetic""}",Moderate,Most schools offer trial classes for beginners.,Build confidence and physical awareness while learning useful skills together.,
92,Meditation Session,Relaxation,"{""type"":""indoor"",""setting"":""studio""}",Attend a guided meditation session.,meditation-session,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Wear comfortable clothes and bring a blanket.,Experience a guided meditation session together.,
93,Movie Marathon,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Watch multiple movies from a chosen theme or series.,movie-marathon-2,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,Prepare themed snacks to match your movie selections.,Cuddle up for an immersive movie experience with your favorite films and comfort food.,
94,Murder Mystery Dinner,Entertainment,"{""type"":""indoor"",""setting"":""restaurant""}",Solve a murder mystery while enjoying a gourmet meal.,murder-mystery-dinner,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",High,Dress up and arrive early for good seats.,Solve a murder mystery while enjoying a gourmet meal in an interactive setting.,
95,Museum,Cultural,"{""type"":""indoor"",""setting"":""museum""}","Explore exhibits on art, history, science or culture together.",museum,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""educational""}",Affordable,Check for special exhibitions and guided tours.,Spend a day exploring fascinating exhibits and discussing your favorite pieces.,
96,Music Festival,Cultural,"{""type"":""outdoor"",""setting"":""varied""}",Attend a music festival and enjoy live performances.,music-festival,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""active"",""vibe"":""festive""}",Moderate,Dress comfortably and bring a light jacket.,Enjoy live music performances at a local music festival.,
97,Nature Photography,Outdoor,"{""type"":""outdoor"",""setting"":""varied""}",Learn to take stunning nature photos.,nature-photography,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""romantic""}",Affordable,Bring a camera and wear comfortable shoes.,Learn to take beautiful nature photos together.,
98,Nature Scavenger Hunt,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Search for items in nature on a guided hunt.,nature-scavenger-hunt,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""playful""}",Affordable,Wear comfortable shoes and bring water.,Search for items in nature on a guided hunt and enjoy the scenic surroundings.,
99,Night Picnic Under the Stars,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Enjoy a romantic picnic illuminated by stars and candles.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/arcade_night_entertainment_diverse_couple_400x300_1760513819587.jpg",/placeholder.svg?height=300&width=400,Night,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Bring battery-powered fairy lights and comfortable blankets.,Create a magical atmosphere with a nighttime picnic under starry skies.,
100,Obstacle Course Race,Adventure,"{""type"":""outdoor"",""setting"":""varied""}",Challenge yourselves in a organized race with obstacles.,obstacle-course-race,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""energetic""}",Moderate,Train together beforehand if the course is challenging.,Push your limits together in this physically challenging but rewarding experience.,
101,Oceanarium,Entertainment,"{""type"":""indoor"",""setting"":""aquarium""}",Explore fascinating marine life in a large aquarium.,oceanarium,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""peaceful""}",Moderate,Check for feeding times and special presentations.,Be mesmerized by the tranquil underwater world and fascinating sea creatures together.,
102,Open Mic,Entertainment,"{""type"":""indoor"",""setting"":""cafe""}",Enjoy performances by local talent or share your own.,open-mic,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""cultural""}",Affordable,Arrive early for good seats; participate if you're brave!,Experience authentic local talent in an intimate venue with a supportive atmosphere.,
103,Opera Night,Entertainment,"{""type"":""indoor"",""setting"":""opera house""}",Dress up and enjoy an evening at the opera.,opera-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",High,Dress up and arrive early for good seats.,Experience the elegance of an opera performance.,
104,Opera or Orchestral Performance,Entertainment,"{""type"":""indoor"",""setting"":""concert hall""}",Experience the power of classical performance.,opera-orchestral-performance,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""sophisticated""}",High,Research the program beforehand to enhance your experience.,Be moved by the powerful sounds and emotions of a live classical performance.,
105,Outdoor Movie Screening,Entertainment,"{""type"":""outdoor"",""setting"":""park""}",Attend a public outdoor film showing.,outdoor-movie-screening,/placeholder.svg?height=300&width=400,Night,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,"Bring blankets, low chairs, and picnic snacks.",Enjoy a movie under the stars with the energy of a community audience around you.,
106,Outdoor Yoga,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Practice yoga in a beautiful outdoor setting.,outdoor-yoga,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Bring a yoga mat and wear comfortable clothes.,Practice yoga in a beautiful outdoor setting and find your zen.,
107,Painting,Cultural,"{""type"":""indoor"",""setting"":""art studio""}",Create your own paintings guided by an instructor.,painting-class,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Affordable,Wear clothes that can get paint on them.,Express yourselves through painting in this guided art session for couples.,
108,Parasailing,Adventure,"{""type"":""outdoor"",""setting"":""waterfront""}",Soar above the water for a breathtaking view.,parasailing,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable clothes and secure your belongings.,Experience the thrill of parasailing with a stunning view of the beach.,
109,Perfume Making Class,Cultural,"{""type"":""indoor"",""setting"":""studio""}",Create your own signature scent with professional guidance.,perfume-making-class,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,Wear comfortable clothes and avoid wearing strong fragrances.,Create your own signature perfume in this hands-on workshop guided by fragrance experts.,
110,Photo Walk,Outdoor,"{""type"":""outdoor"",""setting"":""varied""}",Explore an area while taking thoughtful photographs.,photo-walk,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Affordable,"Any camera works, including smartphone cameras.",Slow down and see your surroundings through a creative lens while capturing memories.,
111,Picnic in the Park,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Pack a picnic and enjoy a day in the park.,picnic-in-the-park,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Bring a blanket and dress comfortably.,Enjoy a relaxing picnic in the park with your partner.,
112,Planetarium,Entertainment,"{""type"":""indoor"",""setting"":""observatory""}",Gaze at the stars and learn about space in an immersive dome.,planetarium,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""educational""}",Affordable,Check the show schedule in advance.,Experience the wonders of the universe together in an immersive dome theater.,
113,Poetry Readings,Cultural,"{""type"":""indoor"",""setting"":""bookstore""}",Listen to poets share their work in an intimate setting.,poetry-readings,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""intellectual""}",Affordable,Arrive on time and be respectful during readings.,Be moved by powerful words as poets share their original works in an intimate setting.,
114,Pottery Class,Cultural,"{""type"":""indoor"",""setting"":""studio""}",Learn to create ceramics on a pottery wheel.,pottery-class,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,Wear clothes that can get dirty and bring an apron.,Try your hand at the pottery wheel and create beautiful ceramic pieces together.,
115,Pub Quiz,Entertainment,"{""type"":""indoor"",""setting"":""pub""}",Join a team trivia competition at a local bar.,pub-quiz-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""social""}",Affordable,Arrive early to secure a table for popular quiz nights.,"Team up to show off your knowledge in a fun, lively pub atmosphere.",
116,Puppy Yoga,Relaxation,"{""type"":""indoor"",""setting"":""studio""}",Practice yoga while adorable puppies roam around.,puppy-yoga,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""playful""}",Moderate,Wear comfortable clothes and bring a yoga mat.,Combine the benefits of yoga with the joy of playing with puppies in this unique experience.,
117,Puzzle Night,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Work on a puzzle together while enjoying snacks.,puzzle-night,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""cozy""}",Affordable,Choose a puzzle that both of you will enjoy.,Work on a puzzle together while enjoying snacks and each other's company.,
118,Quiet Morning Reading and Coffee,Cultural,"{""type"":""indoor"",""setting"":""cafe""}",Enjoy peaceful morning time reading side by side.,morning-reading-coffee,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Affordable,Bring books or find a café with a good selection.,"Share a peaceful, low-pressure morning enjoying books and quality coffee together.",
119,Road Trip,Adventure,"{""type"":""outdoor"",""setting"":""varied""}",Drive to a destination with unplanned stops along the way.,road-trip-spontaneous,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""varied"",""vibe"":""adventurous""}",Moderate,Have a loose plan but be open to unexpected discoveries.,Build memories through shared discovery and the freedom of the open road.,
120,Roller Skating,Entertainment,"{""type"":""indoor"",""setting"":""skating rink""}",Hold hands while gliding around a classic roller rink.,roller-skating,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""active"",""vibe"":""nostalgic""}",Affordable,Skate rental is usually available if you don't have your own.,"Recapture the magic of retro date nights with music, lights and hand-holding on wheels.",
121,Rooftop Dinner and Drinks,Food & Drink,"{""type"":""outdoor"",""setting"":""urban rooftop""}",Enjoy elevated views while dining or having cocktails.,rooftop-dinner-drinks,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""sophisticated""}",Moderate,Make reservations for popular rooftop venues.,Experience your city from above while enjoying fine food and drinks in an elegant setting.,
122,Sake Tasting,Food & Drink,"{""type"":""indoor"",""setting"":""restaurant""}",Sample different types of sake and learn about their origins.,sake-tasting,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""sophisticated""}",Moderate,Dress comfortably and arrive early.,Sample different types of sake and learn about their origins in a relaxed setting.,
123,Scuba Diving Lessons,Adventure,"{""type"":""outdoor"",""setting"":""waterfront""}",Discover the underwater world together.,scuba-diving,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Bring a swimsuit and towel.,Learn to scuba dive and explore the underwater world together.,
124,Silent Disco,Entertainment,"{""type"":""indoor"",""setting"":""dance floor""}",Dance to music only you can hear with wireless headphones.,silent-disco,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""fun""}",Moderate,Wear comfortable clothes and bring water.,Dance to music only you can hear with wireless headphones in a unique and fun setting.,
125,Sip and Paint,Cultural,"{""type"":""indoor"",""setting"":""art studio""}",Create paintings while enjoying alcoholic beverages.,sip-and-paint,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,No artistic experience necessary; instructors guide everyone.,"Enjoy wine while creating your own paintings in this fun, low-pressure art class.",
126,Skydiving,Adventure,"{""type"":""outdoor"",""setting"":""sky""}",Experience the ultimate thrill of freefalling.,skydiving,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",High,Wear comfortable clothes and secure your belongings.,Jump out of a plane and experience the thrill of skydiving together.,
127,Sound Bath,Relaxation,"{""type"":""indoor"",""setting"":""studio""}",Relax and meditate to the sounds of singing bowls.,sound-bath,/placeholder.svg?height=300&width=400,Nighttime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Moderate,Wear comfortable clothes and bring a blanket.,Relax and meditate to the sounds of singing bowls together.,
128,Spa Day,Relaxation,"{""type"":""indoor"",""setting"":""spa""}",Enjoy a day of relaxation at a spa.,spa-day,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",High,Bring comfortable clothes and a swimsuit.,Enjoy a relaxing day at the spa together.,
129,Stand-Up Paddleboarding,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Explore a lake or river on a paddleboard.,stand-up-paddleboarding,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""energetic""}",Moderate,Wear comfortable clothes and bring a change of clothes.,Explore a lake or river on a paddleboard and enjoy the scenic views.,
130,Stargazing,Outdoor,"{""type"":""outdoor"",""setting"":""countryside""}",Find a dark spot and gaze at the stars together.,stargazing,/placeholder.svg?height=300&width=400,Night,"{""pace"":""relaxed"",""vibe"":""romantic""}",Affordable,Bring a blanket and dress warmly.,Enjoy a romantic evening of stargazing together.,
131,Street Food Tasting Tour,Food & Drink,"{""type"":""outdoor"",""setting"":""urban""}",Sample various street food vendors in your city.,street-food-tour,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""leisurely"",""vibe"":""adventurous""}",Affordable,Bring cash for vendors who may not accept cards.,Explore diverse cuisines and hidden culinary gems around your city.,
132,Sunrise Breakfast Date,Food & Drink,"{""type"":""outdoor"",""setting"":""varied""}",Wake up early to share breakfast with a beautiful sunrise.,sunrise-breakfast,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Affordable,Pack a thermos of hot coffee and easy breakfast foods.,Share a magical morning moment watching the sky transform while enjoying breakfast together.,
133,Sunset Cruise,Outdoor,"{""type"":""outdoor"",""setting"":""waterfront""}",Enjoy a romantic cruise at sunset.,sunset-cruise,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""romantic""}",Moderate,Dress comfortably and bring a light jacket.,Enjoy a romantic cruise at sunset and take in the beautiful views.,
134,Sunset Kayaking Tour,Adventure,"{""type"":""outdoor"",""setting"":""waterfront""}",Experience the magic of sunset from the water with this guided kayaking tour for couples.,sunset-kayaking,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable clothes and bring a waterproof bag for your belongings.,This guided kayaking tour offers a romantic and scenic experience on the water. Perfect for couples who want to enjoy nature together.,
135,Sushi Making Class,Food & Drink,"{""type"":""indoor"",""setting"":""kitchen studio""}",Learn to roll your own sushi with a professional chef.,sushi-making,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Arrive early and wear comfortable shoes.,Learn to make sushi together in a fun and interactive class.,
136,Tapas Crawl,Food & Drink,"{""type"":""outdoor"",""setting"":""urban""}",Visit multiple tapas bars and sample small plates.,tapas-crawl,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""leisurely"",""vibe"":""gourmet""}",Moderate,Wear comfortable shoes and bring a light jacket.,Visit multiple tapas bars and sample small plates in a fun and social setting.,
137,Tea Tasting,Relaxation,"{""type"":""indoor"",""setting"":""teahouse""}",Sample a variety of teas and learn about their origins.,tea-tasting,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""cozy""}",Moderate,Dress comfortably and arrive early.,Sample a variety of teas and learn about their origins together.,
138,Theater Performance,Cultural,"{""type"":""indoor"",""setting"":""theater""}",Watch a local theater performance.,theater-performance,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""cultural""}",Affordable,Dress comfortably and arrive early for good seats.,Enjoy a local theater performance together.,
139,Train Ride to a Nearby Town,Adventure,"{""type"":""outdoor"",""setting"":""varied""}",Take a scenic rail journey to explore a new place.,train-ride-town,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""adventurous""}",Moderate,Research your destination for activities once you arrive.,Enjoy both the journey and destination as you explore somewhere new together.,
140,Trivia Night,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Test how well you know each other with personalized questions.,couples-trivia,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""intimate""}",Affordable,"Prepare questions about shared memories, preferences and dreams.",Discover how well you really know each other in this intimate and revealing game.,
141,Ukulele Learning Session,Cultural,"{""type"":""indoor"",""setting"":""studio""}",Take a beginner ukulele class together.,ukulele-learning,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""playful""}",Affordable,No musical experience required for this beginner-friendly instrument.,Learn to play simple songs on this charming instrument in just one fun session.,
142,Unplugged Day,Outdoor,"{""type"":""outdoor"",""setting"":""varied""}",Disconnect from technology and focus on each other.,unplugged-day,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""mindful""}",Affordable,Plan activities that don't require technology.,Deepen your connection by eliminating digital distractions for a full day together.,
143,Video Game Night,Entertainment,"{""type"":""indoor"",""setting"":""home""}",Play video games together or against each other.,video-game-night,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""playful""}",Affordable,Choose games that both of you enjoy.,Play video games together or against each other and enjoy the competition.,
144,Vineyard Wine Tour,Food & Drink,"{""type"":""outdoor"",""setting"":""vineyard""}",Tour a winery and sample their wines with expert guidance.,vineyard-wine-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""sophisticated""}",Moderate,Many vineyards offer shuttle services so you don't have to drive.,Learn about winemaking while tasting different varieties in a beautiful vineyard setting.,
145,Vintage Shopping Date,Cultural,"{""type"":""indoor"",""setting"":""shops""}",Hunt for unique treasures in vintage and antique stores.,vintage-shopping,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""nostalgic""}",Affordable,Bring cash as some smaller shops may not accept cards.,Discover pieces with history and character while learning about each other's tastes.,
146,Volunteer Together,Cultural,"{""type"":""varied"",""setting"":""varied""}",Give back to your community through shared service.,volunteer-together,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""varied"",""vibe"":""meaningful""}",Affordable,Research opportunities that match both your interests.,Bond through meaningful service while making a positive impact on your community.,
147,VR Immersive Experience,Entertainment,"{""type"":""indoor"",""setting"":""gaming center""}",Explore virtual worlds together in a cutting-edge VR facility.,vr-immersive-experience,/placeholder.svg?height=300&width=400,Varies,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable clothes and prepare for movement.,Step into amazing virtual worlds together with state-of-the-art VR technology.,
148,Walking Tour of Hidden City Gems,Outdoor,"{""type"":""outdoor"",""setting"":""urban""}",Discover lesser-known spots in your city with a guided tour.,hidden-city-gems-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""adventurous""}",Affordable,Wear comfortable shoes and weather-appropriate clothing.,See your city through new eyes as you discover secret spots and fascinating history.,
149,Whiskey and Cigar Pairing,Food & Drink,"{""type"":""indoor"",""setting"":""lounge""}",Sample different whiskeys and cigars.,whiskey-cigar-pairing,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""leisurely"",""vibe"":""sophisticated""}",Moderate,Dress comfortably and arrive early.,Sample different whiskeys and cigars in a relaxed setting.,
150,Wine Tasting Tour,Food & Drink,"{""type"":""outdoor"",""setting"":""vineyard""}",Sample premium wines at three boutique wineries with transportation included.,wine-tasting,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""cozy""}",Moderate,Wear comfortable shoes and bring a light jacket.,This wine tasting tour offers a luxurious experience with premium wines and beautiful scenery.,
151,Xtreme Sports Day,Adventure,"{""type"":""outdoor"",""setting"":""varied""}","Try an extreme sport like skydiving, paragliding, or ziplining.",xtreme-sports-day,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",High,Book well in advance and check physical requirements.,Experience an adrenaline rush together that you'll talk about for years to come.,
152,Xylophone Concert,Entertainment,"{""type"":""indoor"",""setting"":""concert hall""}",Attend a unique musical performance featuring unusual instruments.,xylophone-instrument-concert,/placeholder.svg?height=300&width=400,Evening,"{""pace"":""relaxed"",""vibe"":""cultural""}",Affordable,Research the type of music to know what to expect.,Experience unique sounds and musical innovations in this off-the-beaten-path date idea.,
153,Yacht Day Out,Adventure,"{""type"":""outdoor"",""setting"":""waterfront""}",Enjoy a luxurious day on the water with a yacht rental.,yacht-day,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""luxurious""}",High,"Book well in advance, especially during summer months.",Experience luxury and stunning views during this special splurge date on the water.,
154,Yoga at Home,Relaxation,"{""type"":""indoor"",""setting"":""home""}",Practice yoga together using an online video.,yoga-at-home,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Find a yoga video online and follow along together.,Practice yoga together using an online video and find your zen.,
155,Yoga Class,Relaxation,"{""type"":""indoor"",""setting"":""studio""}",Take a yoga class together and find your zen.,yoga-class,/placeholder.svg?height=300&width=400,Morning,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Moderate,Wear comfortable clothes and bring a yoga mat.,Find your zen together in a relaxing yoga class.,true
156,Yoga in the Park,Relaxation,"{""type"":""outdoor"",""setting"":""park""}",Take a yoga class in a beautiful outdoor setting.,yoga-park,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""rejuvenating""}",Affordable,Bring your own mats and water bottles.,Connect with nature and each other while finding balance and peace through yoga.,
157,Zipline Adventure,Adventure,"{""type"":""outdoor"",""setting"":""forest""}",Experience the thrill of ziplining through forests or canyons.,zipline-adventure,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""active"",""vibe"":""thrilling""}",Moderate,Wear comfortable clothes and secure your belongings.,Zipline through beautiful forests or canyons for an exhilarating adventure.,
158,Zoo,Outdoor,"{""type"":""outdoor"",""setting"":""zoo""}",See exotic animals and learn about wildlife conservation.,zoo,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""educational""}",Moderate,Wear comfortable walking shoes and bring a camera.,Walk hand-in-hand while observing fascinating animals from around the world.,
159,Thrift Shopping,Cultural,"{""type"":""outdoor"",""setting"":""varied""}",Thrift Shopping for an easy date with a clear plan in the city.,thrift-shopping,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""cultural""}",Moderate,Set a small budget. Hunt for one item each.,"Thrift Shopping is simple to set up and fun for two. Pick a central spot, keep it to 60 to 120 minutes, and add a small twist like a shared photo, a mini challenge, or a treat at the end. Works well on a first or second date.",false
160,Flea Market Shopping,Cultural,"{""type"":""outdoor"",""setting"":""varied""}",Browse and buy unique art pieces from local artists.,flea-market,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""leisurely"",""vibe"":""creative""}",Moderate,"Talk to the seller, artists and learn about their products and work.",Flea markets are a great way to support local artists and find unique pieces. Enjoy the vibrant atmosphere and perhaps pick up a new piece for your home.,false
161,Park Reading,Outdoor,"{""type"":""outdoor"",""setting"":""park""}",Spend a quiet afternoon reading in the park.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/amusement_park_entertainment_diverse_couple_400x300_1760513796.jpg",/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""peaceful""}",Affordable,Bring a good book and a comfortable seat.,"Reading in the park is a peaceful way to spend an afternoon. Find a quiet spot, bring a book, and enjoy the tranquility.",
162,Scooter Ride,Outdoor,"{""type"":""outdoor"",""setting"":""urban""}",Explore the city on a fun scooter ride.,scooter-ride,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""relaxed"",""vibe"":""cultural""}",Affordable,,Explore the city on a fun scooter ride.,
163,Amphibious Tour,Tour,"{""type"":""outdoor"",""setting"":""urban""}",Enjoy a tour on land and water.,amphibious-tour,/placeholder.svg?height=300&width=400,Daytime,"{""pace"":""moderate"",""vibe"":""exciting""}",Moderate,Book tickets in advance.,An amphibious tour provides a unique perspective of the city.,
164,Beach Cinema,Entertainment,"{""type"":""outdoor"",""setting"":""beach""}",Watch movies under the stars at the beach.,"https://ljixbbwscwfdqygjmljq.supabase.co/storage/v1/object/public/date-images/beach_cinema_entertainment_caucasian_couple_400x300_176051590612.jpg",/placeholder.svg?height=300&width=400,Varies,"{""pace"":""slow"",""vibe"":""romantic""}",Moderate,Bring a blanket and snacks.,Beach cinema offers a unique and romantic movie experience.,
